timecode,seconds,span_ms,method,found_by,exemplar_lag_s,match_ncc,spectral_score,fill_level_db,bpm,tempo_conf,off_beat_ms,merged_from,refilled
01:00.501,60.501,60.0,exemplar,detected,-6.817,0.643,9.57,0.8,140.4,0.393,18.2,1,
01:19.391,79.391,30.0,exemplar,detected,3.395,0.656,6.41,-3.7,70.2,0.204,22.6,1,
01:37.771,97.771,40.0,exemplar,detected,-6.79,0.62,7.39,-0.5,70.2,0.065,45.2,1,
01:57.067,117.067,48.0,exemplar,detected,3.417,0.627,6.84,-1.1,140.6,0.028,2.6,1,
02:00.651,120.651,21.0,exemplar,detected,-6.817,0.536,10.43,-0.3,140.6,0.034,11.8,1,
02:07.325,127.325,38.0,exemplar,missed,4.055,0.558,7.35,-2.2,140.4,0.059,210.2,1,
02:54.699,174.699,24.0,exemplar,detected,6.806,0.617,6.11,2.8,140.4,0.033,29.2,1,
03:01.398,181.398,24.0,exemplar,detected,-5.117,0.646,7.26,0.9,102.0,0.016,175.0,1,
03:15.446,195.446,29.0,exemplar,detected,5.784,0.587,3.42,0.5,71.9,0.026,54.0,1,
03:22.335,202.335,23.0,exemplar,detected,5.785,0.668,5.07,0.8,91.8,0.021,97.4,1,
04:14.275,254.275,36.0,exemplar,missed,-0.32,0.196,6.25,0.3,187.5,0.362,0.0,1,
04:27.145,267.145,158.0,exemplar,missed,0.308,0.276,10.94,-0.4,187.5,0.344,12.0,1,off-beat
05:01.782,301.782,94.0,exemplar,detected,-6.442,0.443,9.89,0.9,140.2,0.618,22.0,1,off-beat
05:16.912,316.912,39.0,exemplar,missed,3.408,0.906,30.2,-4.8,140.1,0.649,19.2,1,
05:37.035,337.035,93.0,exemplar,detected,-2.143,0.688,13.53,-5.4,139.9,0.569,1.0,1,
05:44.247,344.247,90.0,exemplar,missed,-4.693,0.547,16.11,2.3,139.9,0.582,23.8,1,
06:01.691,361.691,47.0,exemplar,missed,-8.978,0.604,15.99,-4.7,139.9,0.615,26.8,1,
06:46.718,406.718,56.0,exemplar,missed,-6.856,0.623,6.71,7.4,139.9,0.715,4.8,1,
08:52.256,532.256,92.0,exemplar,detected,-4.691,0.507,6.95,0.2,139.9,0.67,25.8,1,
09:06.656,546.656,41.0,exemplar,detected,-3.408,0.74,4.84,-1.2,139.9,0.646,22.4,1,
09:16.545,556.545,45.0,exemplar,detected,-13.72,0.429,8.23,0.9,139.9,0.645,1.6,1,off-beat
10:16.865,616.865,33.0,exemplar,detected,6.835,0.319,7.65,-0.9,139.9,0.69,25.8,1,
11:02.934,662.934,153.0,exemplar,detected,-3.511,0.895,3.33,-0.6,139.9,0.496,80.6,1,
11:16.673,676.673,25.0,exemplar,detected,-13.732,0.705,7.88,1.0,139.9,0.551,10.4,1,off-beat
12:37.469,757.469,44.0,exemplar,missed,3.374,0.447,10.85,-4.4,139.9,0.686,56.4,1,
13:17.302,797.302,17.0,exemplar,detected,2.993,0.4,3.48,1.5,139.9,0.756,8.6,1,
14:15.483,855.483,88.0,exemplar,missed,14.988,0.406,11.95,-0.2,139.9,0.773,20.0,1,off-beat
14:25.622,865.622,23.0,exemplar,detected,-5.127,0.366,10.34,3.1,140.1,0.774,13.8,1,
14:47.521,887.521,72.0,exemplar,detected,-5.494,0.405,11.88,-2.5,140.1,0.736,75.2,1,
14:54.313,894.313,54.0,periodic,missed,,,7.81,-1.6,140.1,0.737,,1,
16:01.270,961.27,39.0,exemplar,detected,13.695,0.504,11.2,-3.2,140.1,0.725,13.8,1,off-beat
16:30.870,990.87,112.0,exemplar,detected+residual,17.142,0.783,13.23,2.5,139.9,0.723,10.0,2,merged+off-beat
16:55.422,1015.422,30.0,exemplar,missed,3.408,0.756,9.76,-5.6,139.9,0.676,22.4,1,
17:16.555,1036.555,46.0,exemplar,detected,6.328,0.851,6.15,-0.8,139.9,0.676,104.0,1,
18:09.079,1089.079,40.0,periodic,detected,,,7.67,-4.7,139.9,0.625,,1,
18:26.167,1106.167,74.0,periodic,detected,,,4.17,-1.8,139.9,0.634,,1,
18:26.369,1106.369,23.0,exemplar,detected,-1.182,0.299,16.42,2.6,139.9,0.634,104.4,1,
18:26.456,1106.456,64.0,periodic,residual,,,19.72,-5.9,139.9,0.641,,1,off-beat
21:06.105,1266.105,37.0,exemplar,residual,-5.571,0.359,14.62,-4.5,139.9,0.733,3.4,1,
21:06.209,1266.209,94.0,exemplar,detected+residual,5.598,0.36,8.27,1.8,139.9,0.731,23.6,2,merged+off-beat
22:09.378,1329.378,47.0,exemplar,detected,-3.406,0.516,6.52,-0.4,140.1,0.578,21.2,1,off-beat
22:15.820,1335.82,40.0,exemplar,detected,0.753,0.763,3.81,1.4,140.2,0.626,103.0,1,
22:16.119,1336.119,35.0,exemplar,detected,0.44,0.523,5.98,0.6,140.2,0.629,12.0,1,off-beat
22:28.501,1348.501,54.0,exemplar,missed,-1.035,0.641,5.41,-0.4,186.8,0.594,71.4,1,
22:39.881,1359.881,44.0,exemplar,missed,7.942,0.593,11.1,0.4,186.8,0.617,88.0,1,
22:42.805,1362.805,95.0,exemplar,missed,10.262,0.529,8.06,2.5,140.1,0.703,19.6,1,off-beat
22:46.483,1366.483,37.0,exemplar,missed,-3.553,0.461,8.68,-1.3,186.8,0.633,19.8,1,off-beat
23:31.031,1411.031,56.0,exemplar,detected,-10.295,0.462,11.58,3.8,140.1,0.712,13.4,1,off-beat
23:37.794,1417.794,36.0,exemplar,detected,4.132,0.774,6.03,1.3,186.8,0.646,43.6,1,
24:46.775,1486.775,25.0,exemplar,detected,-6.843,0.605,7.76,0.3,140.1,0.599,11.4,1,
25:07.031,1507.031,41.0,exemplar,detected,3.427,0.586,15.04,0.6,139.9,0.556,3.4,1,
25:07.639,1507.639,31.0,exemplar,detected,-4.272,0.462,12.07,4.5,140.1,0.548,12.0,1,
25:22.121,1522.121,55.0,exemplar,missed,-3.426,0.65,11.1,-2.0,140.1,0.539,1.2,1,
25:43.650,1543.65,142.0,exemplar,missed,-2.673,0.463,20.13,-1.3,186.8,0.259,103.4,1,
25:45.395,1545.395,175.0,exemplar,detected,3.405,0.438,10.2,7.9,186.6,0.285,132.6,1,
25:45.654,1545.654,26.0,exemplar,detected,-6.858,0.364,25.92,-13.5,186.8,0.291,112.8,1,
26:04.401,1564.401,53.0,exemplar,residual,-6.796,0.588,6.67,0.9,140.1,0.534,58.4,1,
26:04.717,1564.717,49.0,exemplar,detected,-6.816,0.616,12.28,-1.7,140.1,0.534,38.4,1,
26:21.660,1581.66,58.0,exemplar,missed,0.434,0.238,9.44,0.1,140.1,0.514,5.6,1,off-beat
26:27.885,1587.885,42.0,exemplar,detected,4.792,0.169,12.58,-2.0,140.1,0.527,79.6,1,
26:28.845,1588.845,29.0,exemplar,detected,-17.12,0.583,13.8,-4.9,140.1,0.526,16.0,1,off-beat
26:54.264,1614.264,56.0,exemplar,detected,-13.703,0.599,10.62,0.8,140.1,0.555,5.8,1,off-beat
27:09.997,1629.997,44.0,exemplar,detected,-3.457,0.497,13.26,0.5,140.1,0.637,29.8,1,
27:14.915,1634.915,85.0,exemplar,detected,3.803,0.523,9.54,-0.2,140.1,0.676,52.6,1,
27:43.928,1663.928,99.0,exemplar,detected,-3.428,0.498,25.65,1.4,139.9,0.667,2.4,1,off-beat
27:49.699,1669.699,83.0,exemplar,detected,6.836,0.362,19.38,0.3,139.9,0.696,24.8,1,off-beat
27:55.565,1675.565,47.0,exemplar,detected,1.689,0.473,11.16,-0.5,139.9,0.688,26.2,1,
27:55.857,1675.857,83.0,exemplar,residual,-6.945,0.585,11.86,-1.5,139.9,0.682,84.2,1,
27:57.434,1677.434,61.0,periodic,missed,-3.531,0.606,22.02,2.2,139.9,0.682,100.6,1,
